,open,high,low,close,volume
2024-04-09,247.21,251.96,246.37,251.83,1703532
2024-04-10,246.73,248.51,240.2,241.08,2028324
2024-04-11,242.85,244.9,240.52,244.33,1736545
2024-04-12,239.62,240.89,232.755,233.61,2597791
2024-04-15,237.49,237.5,228.385,230.11,2304189
2024-04-16,231.62,232.545,227.98,230.68,1652709
2024-04-17,231.07,231.46,225.84,226.92,1971013
2024-04-18,222.0,223.38,217.35,219.35,3495081
2024-04-19,219.35,220.34,213.02,215.12,2760717
2024-04-22,218.67,220.2,214.33,218.66,2230361
2024-04-23,219.02,226.89,218.845,225.61,3024080
2024-04-24,235.46,237.69,232.32,235.04,3810687
2024-04-25,236.86,239.59,233.75,238.08,2052353
2024-04-26,236.95,244.29,236.39,242.7,2059388
2024-04-29,242.75,247.94,242.13,247.13,2976344
2024-04-30,257.72,261.15,250.51,256.19,4800102
2024-05-01,253.35,258.21,246.55,249.43,3538450
2024-05-02,253.44,255.39,245.195,254.26,2317172
2024-05-03,261.0,262.11,257.11,257.85,2513186
2024-05-06,259.26,260.49,256.665,259.63,2213775
2024-05-07,260.57,262.0,258.33,258.65,1605475
2024-05-08,255.58,260.29,255.58,260.21,1636505
2024-05-09,260.51,261.88,258.08,260.8,1777769
2024-05-10,262.5,264.0,260.18,261.73,1072539
2024-05-13,263.99,266.63,263.0,263.93,1395228
2024-05-14,264.7,268.4323,263.94,267.66,1618396
2024-05-15,270.16,272.29,267.75,272.0,2231483
2024-05-16,271.1,273.37,269.55,269.61,1550132
2024-05-17,269.72,270.18,265.7601,267.72,1344629
2024-05-20,267.99,274.525,267.5301,273.57,1271743
2024-05-21,269.26,275.49,268.17,274.42,1156026
2024-05-22,277.0,280.24,275.2401,278.83,2185496
2024-05-23,279.88,279.88,269.68,272.72,2327137
2024-05-24,278.33,280.77,275.55,277.17,1319923
2024-05-28,276.55,282.22,276.12,279.63,1503834
2024-05-29,274.44,277.185,273.4,273.83,1696332
2024-05-30,271.42,274.29,270.225,271.43,1785404
2024-05-31,271.835,273.9,264.22,272.1,3065120
2024-06-03,275.62,277.52,265.105,269.94,1273305
2024-06-04,267.47,271.24,265.64,266.3,1783789
2024-06-05,270.06,276.08,268.771,275.7,1692868
2024-06-06,274.63,275.1659,271.52,272.01,1438293
2024-06-07,272.79,277.0,270.8,271.89,1211311
2024-06-10,268.17,277.32,268.05,276.85,1353965
2024-06-11,276.79,278.36,271.87,277.93,1123035
2024-06-12,282.0,286.8699,279.59,282.99,1653643
2024-06-13,272.05,279.43,272.0,275.47,1382729
2024-06-14,270.0,272.41,266.27,268.85,1680348
2024-06-17,268.45,271.64,264.15,271.26,1702687
2024-06-18,270.78,273.22,269.36,271.4,1650101
2024-06-20,269.61,270.32,263.26,264.68,3003883
2024-06-21,266.43,271.715,264.84,271.03,4027521
2024-06-24,268.98,271.77,266.56,267.27,1680638
2024-06-25,270.31,271.35,266.68,269.92,1460697
2024-06-26,269.0,270.86,265.82,268.17,1693168
2024-06-27,268.21,269.7299,264.41,265.01,1489106
2024-06-28,267.44,273.835,265.88,269.09,2228047
2024-07-01,269.12,269.78,262.53,265.67,1724119
