Date,open,high,low,close,volume,C-O,BuySignal
16-12-21,228.84,229.31,217.65,217.95,3223834,-10.89,1
17-12-21,216.235,222.54,214.45,218.71,4671428,2.475,0
20-12-21,215.49,219.685,214.6101,217.65,1336333,2.16,1
21-12-21,221.55,224.7,219.05,224.37,1603774,2.82,1
22-12-21,223.05,226.88,221.71,226.76,1057962,3.71,1
23-12-21,226.76,229.185,226.26,227.35,920491,0.59,0
27-12-21,228.65,232.85,227.6,232.78,1235993,4.13,0
28-12-21,233.81,234.42,228.58,231.02,1362273,-2.79,0
29-12-21,230.39,233.37,229.9,230.52,1116978,0.13,0
30-12-21,230.53,232.6,228.3,228.6,886359,-1.93,0
31-12-21,229.15,231.5,227.35,227.78,986310,-1.37,0
03-01-22,228.39,233.37,228.07,231.22,1519604,2.83,1
04-01-22,232.41,234.9,225.455,232.87,1964983,0.46,0
05-01-22,231.75,234.28,224.26,224.57,1963533,-7.18,1
06-01-22,225.5,228.76,224.11,226.96,1957799,1.46,0
07-01-22,228,229.99,219.88,221.33,1760182,-6.67,0
10-01-22,220.05,222.14,214.7,221.83,1926494,1.78,1
11-01-22,222.67,227.75,220.755,227.54,1712225,4.87,1
12-01-22,229.06,231.4,225.86,229.02,1262999,-0.04,0
13-01-22,231.99,232.36,220.6,221.86,2910990,-10.13,1
14-01-22,218.71,225.39,218.07,225.29,1722896,6.58,0
18-01-22,220,221.165,216.7425,217.42,2330016,-2.58,0
19-01-22,217.94,220.45,210.78,210.95,1876696,-6.99,0
20-01-22,208,211.77,199.41,199.61,2885044,-8.39,1
21-01-22,197.33,207.73,196.8,199.95,3812039,2.62,0
24-01-22,195.83,203.47,188.07,203.07,3739096,7.24,0
25-01-22,197.2,199.875,193.39,194.77,3855581,-2.43,1
26-01-22,200.45,205.25,193.54,196.96,3470576,-3.49,0
27-01-22,200.8738,201.02,186.39,187.96,3786899,-12.9138,1
28-01-22,186.48,189.53,180.12,189.45,4949076,2.97,0
31-01-22,190.39,205.9,190,205.44,5679858,15.05,1
01-02-22,208.99,210.99,200.01,208.2,4066217,-0.79,1
02-02-22,209.63,211.8336,205.6849,210.35,2863864,0.72,0
03-02-22,206.72,208.7999,197.8,198.34,4263591,-8.38,0
04-02-22,196.97,200.11,190.79,198.12,3205417,1.15,0
07-02-22,198.4,201.91,196.06,196.92,2169490,-1.48,1
08-02-22,197.29,203.32,196.085,202.53,2306046,5.24,1
09-02-22,205.49,210,200.5,209.76,3113012,4.27,0
10-02-22,204.36,209.62,198.13,199.05,2466782,-5.31,0
11-02-22,200.01,200.97,185.18,186.74,3738556,-13.27,0
14-02-22,187.84,191.67,183.97,185.88,2040009,-1.96,1
15-02-22,190.5,196.9,189.21,196.62,2810008,6.12,1
16-02-22,195.45,200.64,193,199.66,1969413,4.21,0
17-02-22,196.4,197.45,187.39,187.61,2763054,-8.79,0
18-02-22,188.77,190.14,185.19,187.09,2691821,-1.68,0
22-02-22,185.18,191.605,183.91,187.24,2355338,2.06,0
23-02-22,190.48,194.6,185.03,185.15,2612345,-5.33,1
24-02-22,179.12,191.73,178.305,191.42,3208633,12.3,1
25-02-22,190.49,194.32,185.58,194.2,2058741,3.71,0
28-02-22,191.43,192.73,186.73,190.12,2741126,-1.31,0
01-03-22,189.61,189.985,179.23,181.18,2997848,-8.43,1
02-03-22,183.02,190.47,182.63,188.35,3191781,5.33,0
03-03-22,189.42,189.92,184.05,184.7,2591638,-4.72,0
04-03-22,182.48,183.23,174.1612,176.45,3190789,-6.03,0
07-03-22,177.785,179.1,169.55,169.72,2992458,-8.065,1
08-03-22,170.62,185.44,168.74,176.9,4006618,6.28,1
09-03-22,183,186.27,182.2,183.35,3108923,0.35,0
10-03-22,179.24,181.32,175.82,180.5,1899207,1.26,0
11-03-22,183.98,185.27,178.16,178.56,2176907,-5.42,0
14-03-22,178.38,179.64,170.22,171.71,2515948,-6.67,1
15-03-22,172.86,179.03,172.71,178.44,2183095,5.58,1
16-03-22,181.37,188.42,178.18,188.32,2846085,6.95,1
17-03-22,187.03,190.32,185.14,189.77,1488967,2.74,1
